Timestamp: 2026-09-17T18:56:38.317Z | Architecture: WITHOUT_FOG | TxHash: 0x32f8eed5230efe4b81137aa287bca34fe08032c553d210b14469dd039e8cdb46 | CID: QmeUWWCVEeX6eszYzmXm4AfGLkYE5YVAwTyFDpyWdMMafD | Latency: 324.255 ms | IPFS Storage Time: 319.776 ms | Throughput: 0.0005 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:00:41.032Z | Architecture: WITHOUT_FOG | TxHash: 0x7dcfe9007b7a8c6a930f8ebd88868247e09a722f95b8d007fc100b0f592b64e5 | CID: QmXKbYcgWYD9qfS2gJvqJAekyXxVu6xNYVdUMEaJZVNRXh | Latency: 43.753 ms | IPFS Storage Time: 38.014 ms | Throughput: 0.0008 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:01:27.104Z | Architecture: WITHOUT_FOG | TxHash: 0x6a6bc53e0480bfa8e925314ea0f3e0f73925bbebc02b83607c5679efcc364466 | CID: QmVScKqkGF23pHBbGpBnhBGjHmHvHndDaiiGHT8VkSpGXk | Latency: 456.852 ms | IPFS Storage Time: 454.854 ms | Throughput: 0.0012 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:02:33.496Z | Architecture: WITHOUT_FOG | TxHash: 0x797d974feb9f90d2163eaa6c44a60cf7e27d1a8b5d339c75c185f549dac6a544 | CID: QmefZhEp5RG6YSetDq5YCSiJihcLCUmx51gDaYhircZB6g | Latency: 63.179 ms | IPFS Storage Time: 60.153 ms | Throughput: 0.0016 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:03:42.978Z | Architecture: WITHOUT_FOG | TxHash: 0x6d7c12bb8902f604fc3a93c6cffc1864f2a38d4819b2779b99bba0b38f6bb8ab | CID: QmXf1iECA7iWncHAp5DKfNkJ8isH2BoXALejDFtUMhsUtv | Latency: 416.761 ms | IPFS Storage Time: 403.527 ms | Throughput: 0.002 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:04:31.276Z | Architecture: WITHOUT_FOG | TxHash: 0x5fbadadf5e0b21fecca5c02c26d017f5aa4afdfd91a50b6c4b1d890c05f4af81 | CID: QmTiqzsLMaGvf8yUcBDxW4QNvC6LYvtTJdkDRABazB79up | Latency: 70.805 ms | IPFS Storage Time: 68.784 ms | Throughput: 0.0023 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:05:10.975Z | Architecture: WITHOUT_FOG | TxHash: 0x9d500c3bfc6d1641c934e10b648ed3cbc9fb7f5b2327cb4504572d7d7b9b99c5 | CID: QmWVYa9cLJXE114QRctZRXtyK1pTGcKhytxYs1vTfmpHsF | Latency: 101.933 ms | IPFS Storage Time: 98.731 ms | Throughput: 0.0026 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:05:47.791Z | Architecture: WITHOUT_FOG | TxHash: 0x53dba63db777e2b9ca20fa935683f62d2e8a86c0a1e58eaed05f490a1d2c095d | CID: QmZxHgq4zTq9FWyJheNtrjPej3kk1AmZBHPwLspxRemJUA | Latency: 94.859 ms | IPFS Storage Time: 92.907 ms | Throughput: 0.003 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:06:13.419Z | Architecture: WITHOUT_FOG | TxHash: 0x271a945ad66498d74890b766ea93bedc27fc88fec6d84d93b0f5e6df33243f13 | CID: QmTyygvpf49rm6bdNvBusAF8e74DHjw5BfbgCSgAeuXeD5 | Latency: 73.911 ms | IPFS Storage Time: 71.135 ms | Throughput: 0.0033 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:06:32.276Z | Architecture: WITHOUT_FOG | TxHash: 0x5ffca092e5c6f89264113347399a2a1590f2b8d4d64d2e23e395f085198602fb | CID: QmcXq5ijKGuiR2nzZoCzcac4ud2FZMjhYPRMfiD8iJsanP | Latency: 82.512 ms | IPFS Storage Time: 80.04 ms | Throughput: 0.0037 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:06:49.174Z | Architecture: WITHOUT_FOG | TxHash: 0xd06bf4b03bdab6bbcffaad39a404d453dcb07b0985447af394283364c63ad133 | CID: QmPtoZRfWagEUnnDZqZgihEtf2qzyoMVkFQtJ9stdZA3Ed | Latency: 238.083 ms | IPFS Storage Time: 232.248 ms | Throughput: 0.004 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:07:42.209Z | Architecture: WITHOUT_FOG | TxHash: 0xe473a5e581a3b3fff607b04eab4124e907fd3bbc36f0bcef2993c34fce058956 | CID: QmW98mnUbh99gE6PRCR6zKrUNQuU1TeAJaBVP7QCdewyfw | Latency: 80.771 ms | IPFS Storage Time: 72.037 ms | Throughput: 0.0043 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:08:02.166Z | Architecture: WITHOUT_FOG | TxHash: 0x30db20f95767c0f74ad62b42494c95304df6f9624b6f5da1112caff9cd9113ef | CID: QmPayQgqYihnMewQkh8u31QD9F1f9qGVqhBoLRHnrgCefo | Latency: 27.844 ms | IPFS Storage Time: 23.489 ms | Throughput: 0.0046 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:08:41.928Z | Architecture: WITHOUT_FOG | TxHash: 0x35f543f97bcef2afebe6b5f65c98b9a4b4f4dfbfea4304e12a927315ef4e06ef | CID: QmSPM3DpCstLokouw77ui5qgR4RSKZkRzKKqrshFy9nWFp | Latency: 69.111 ms | IPFS Storage Time: 62.476 ms | Throughput: 0.0049 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:09:22.414Z | Architecture: WITHOUT_FOG | TxHash: 0x020c9787f887584c74f9e86dc1f2c86f52c81e52badfd858a2c3accbba53156e | CID: QmeHxdr57W79pF8zDEsDNk4eNzAjYmmuboNQmnRTtX7hUc | Latency: 78.035 ms | IPFS Storage Time: 73.688 ms | Throughput: 0.0052 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:10:25.053Z | Architecture: WITHOUT_FOG | TxHash: 0x6f74884a56008b72b8f2c1f2a4667c9a749d1762098d03b5b6a690e987614819 | CID: QmU6K65NjUNgWg1ffzMZSnjoMx7kDLpafFdQiFNcJCP2QM | Latency: 68.462 ms | IPFS Storage Time: 64.032 ms | Throughput: 0.0054 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:10:47.256Z | Architecture: WITHOUT_FOG | TxHash: 0x8f385d3c5c9d69af6f0efaf406bd0927c352959006b73f83c930c6ab7adfadc4 | CID: QmXbdJL7RsdX9DhpjMhD1WFfFmaazMZetFjdkVmz41PU6t | Latency: 91.737 ms | IPFS Storage Time: 89.901 ms | Throughput: 0.0057 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:11:26.706Z | Architecture: WITHOUT_FOG | TxHash: 0x42ec6921d2b36d1b6ef7e453e285154bff65843a3038f37f8d7a7a7de86cd9d4 | CID: QmbmvDrxzGmEgaQ2Ky3ceZh14BPfuAoLSZ6WVTC7JgPzX2 | Latency: 39.497 ms | IPFS Storage Time: 34.417 ms | Throughput: 0.006 TPS | Status: SUCCESS
