Timestamp: 2026-09-17T23:06:01.744Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0xa3e31673914c35575a7fec1e6ccc51ec5ab5e265453ccbed1cd3d58fe89df46c | CID: QmajwEJoH2URgrisAcgPfMSiXPix4ehkExLnjCHCoWvPu7 | Latency: 92.737 ms | IPFS Storage Time: 89.403 ms | Throughput: 0.0041 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:03.572Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0x573bd986599d326fe76e162f612c6f9a891f30dda600488363c76b1c59c001cb | CID: QmUzg61REZkYGf9VuQyrMc1jThCobAdNcnf5mRnQvRtpas | Latency: 45.648 ms | IPFS Storage Time: 43.485 ms | Throughput: 0.0081 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:05.413Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0xfe3b72248005f0706966c692f753a66c445700e92d962842bb462edd1c556fcd | CID: QmcJLTViXbJVGoVQfGdHjrvmbNAajwYWHEgP3D2piJct4j | Latency: 45.351 ms | IPFS Storage Time: 42.8 ms | Throughput: 0.0121 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:07.140Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0x4d4e4261cbdc5645a1ec77deefc8c5ee497802d34427399fa2990646a0555cd6 | CID: QmSCrCMbyL3H9nAqNGsAwU2HCe6VdYvNPDGep5HGiRchAD | Latency: 21.253 ms | IPFS Storage Time: 19.158 ms | Throughput: 0.016 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:08.791Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0xef7a924ff76392edf6e90c181fe5fbe1fd00a3faf827ccd5a54e29e134702d9b | CID: QmUYMqeBoSEUeMiaXuDWvFijdGbAKUYLJJzpQsmqze6gUW | Latency: 59.033 ms | IPFS Storage Time: 56.328 ms | Throughput: 0.0199 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:10.656Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0xd6cee280f9d7df9377860eb29d2d5689d35561da76e73b6b0eb0422fd23983b8 | CID: QmWcTiL7kEupbuRowQqx2uMPWaguX496bgqSHP5nAsR6vF | Latency: 25.245 ms | IPFS Storage Time: 23.122 ms | Throughput: 0.0237 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:11.969Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0xf9988ab16ced3f6d7d062a002c7e5fd720af9d71650800272a248da67d38bffa | CID: Qma7ep3BJLacpdpAsjHSWxRFwcv5cLCY5r5xJGiaTVyRrK | Latency: 48.427 ms | IPFS Storage Time: 46.175 ms | Throughput: 0.0275 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:13.733Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0x7155fd75b1081cae82a55aa9ea7f5acc21495553174baa48bdf0b09c64d61836 | CID: QmTPNcHV3AcHZUfjzLazxH9McqVxeNe2mRw4cs854WSPfk | Latency: 49.913 ms | IPFS Storage Time: 47.63 ms | Throughput: 0.0312 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:15.395Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0x2882ace248e6e2d368811d62b7fa80a796c1925d5486555ea82f3b276e1a8a20 | CID: QmTUCAQotx3ECUUtUj3FpHF2uMFPiqzqiYChKFjwD7uzXq | Latency: 61.73 ms | IPFS Storage Time: 57.72 ms | Throughput: 0.0349 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:06:17.183Z | Architecture: WITHOUT_FOG | Benchmark ID: FOG_CONTROLLED_TEST_1789686360755 | TxHash: 0x050944db74786d1130c371bfb3651c05e87a0e7736d839ae2313dd411a996082 | CID: QmXLE5A1mabuYKRAZnKJLZPakfrE5dZgdAkb1mQPAJqnsG | Latency: 47.706 ms | IPFS Storage Time: 45.453 ms | Throughput: 0.0385 TPS | Status: SUCCESS
Timestamp: 2026-09-17T23:33:19.751Z | Architecture: WITHOUT_FOG | Benchmark ID: NO_FOG_CONTROLLED_TEST_1789687999228 | TxHash: 0xdab74d81878892b85f9149eb1cec15e7641b6ccb07142a1c69427b354a9a6dc4 | CID: QmeH4CeqNUbk7HNyWNdyqkC6Vk3E891Y1v44F3bZFgDsoZ | Latency: 25.523 ms | IPFS Storage Time: 23.062 ms | Throughput: 0.0058 TPS | Status: SUCCESS
